O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,JAYANTA KHAUND,Asom Gana Parishad,35003,276,35279,18.23
2,DIPAK SAIKIA,Nationalist Congress Party,570,11,581,0.3
3,BIRI JOY,National People's Party,3774,5,3779,1.95
4,BHARAT CHANDRA NARAH,Indian National Congress,52697,208,52905,27.34
5,ANUPAM CHUTIA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),780,1,781,0.4
6,UBAIDUR RAHMAN,Rashtriya Ulama Council,735,0,735,0.38
7,PUTALI KAYASTHA,Assam Jatiya Parishad,1906,28,1934,1.0
8,BIKASH DEBNATH,Bharatiya Gana Parishad,3053,18,3071,1.59
9,AJIJUR RAHMAN,Independent,49156,136,49292,25.47
10,ABDUL GOFFUR,Independent,1299,1,1300,0.67
11,SAHEBA AHMED,Independent,1029,3,1032,0.53
12,RAO GAJENDRA SINGH,Independent,40610,100,40710,21.04
13,NOTA,None of the Above,2092,10,2102,1.09
