O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,AC_NO,Position,Party Code
1,BIJOY MALAKAR,Bharatiya Janata Party,83750,961,84711,61.92,1,1,BJP
2,SAMBHU SING MALLAH,Indian National Congress,48197,293,48490,35.44,1,2,INC
3,SANCHITA SUKLA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),705,3,708,0.52,1,4,SUCOI(C)
4,DIPENDRA DAS,Independent,196,0,196,0.14,1,9,I
5,BIKASH LAL DHUBI,Independent,295,3,298,0.22,1,7,I
6,BISHNU DHARI MALAH,Independent,232,0,232,0.17,1,8,I
7,BEBUL DAS,Independent,348,0,348,0.25,1,6,I
8,SUJIT ROY,Independent,625,3,628,0.46,1,5,I
9,NOTA,None of the Above,1147,53,1200,0.88,1,3,NOTA
1,KRISHNENDU PAUL,Bharatiya Janata Party,74067,779,74846,49.66,2,1,BJP
2,SACHIN SAHOO,Indian National Congress,69800,579,70379,46.7,2,2,INC
3,SABBIR AHMED,Asom Gana Parishad,541,2,543,0.36,2,6,AGP
4,JAYANTA SINHA,Republican Party of India,180,8,188,0.12,2,10,RPI
5,NURUL ISLAM,All India Forward Bloc,83,1,84,0.06,2,16,AIFB
6,BULU CHANDA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),98,3,101,0.07,2,15,SUCOI(C)
7,MD. BAHAR UDDIN,Rashtriya Ulama Council,172,2,174,0.12,2,11,RUC
8,HUMAYUN KABIR,Assam Jatiya Parishad,262,1,263,0.17,2,8,AJP
9,IBRAHIM ALI,Independent,281,6,287,0.19,2,7,I
10,YEAFUS ALI,Independent,127,11,138,0.09,2,14,I
11,CHANDAN DAS,Independent,174,0,174,0.12,2,11,I
12,YASHOBANTA KUAMR DAS,Independent,169,2,171,0.11,2,13,I
13,SANJOY KUMAR MALAKAR,Independent,216,0,216,0.14,2,9,I
14,SAHIN UZ JAMAN,Independent,835,0,835,0.55,2,5,I
15,SHIHAB UDDIN AHMED,Independent,1018,2,1020,0.68,2,4,I
16,NOTA,None of the Above,1283,5,1288,0.85,2,3,NOTA
1,KAMALAKHYA DEY PURKAYASTHA,Indian National Congress,60375,623,60998,41.57,3,1,INC
2,DR MANASH DAS,Bharatiya Janata Party,51865,809,52674,35.89,3,2,BJP
3,AHAD UDDIN,Rashtriya Ulama Council,312,2,314,0.21,3,10,RUC
4,GOPAL CHANDRA PAUL,Samajwadi Party,92,0,92,0.06,3,16,SP
5,NAZRUL ISLAM CHOUDHURY,All India Forward Bloc,852,6,858,0.58,3,5,AIFB
6,SUJIT KUMAR PAUL,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),161,4,165,0.11,3,11,SUCOI(C)
7,ABDUL JABBAR CHOUDHURY,Independent,114,1,115,0.08,3,14,I
8,JAKIR HUSSAIN,Independent,474,1,475,0.32,3,7,I
9,MD JUBAIR AHMED CHOUDHURY,Independent,117,4,121,0.08,3,13,I
10,DEBAJYOTI DEB ROY (SUJAN),Independent,562,16,578,0.39,3,6,I
11,NAZIM UDDIN KHAN,Independent,433,1,434,0.3,3,9,I
12,MOHAMMAD ABDUL BATIN,Independent,102,0,102,0.07,3,15,I
13,RUHUL QUDDUS,Independent,127,1,128,0.09,3,12,I
14,LUTFUR RAHMAN,Independent,466,1,467,0.32,3,8,I
15,SAHABUL ISLAM CHOUDHURY,Independent,27916,128,28044,19.11,3,3,I
16,NOTA,None of the Above,1172,8,1180,0.8,3,4,NOTA
1,AZIZ AHMED KHAN,Asom Gana Parishad,55835,587,56422,37.54,4,2,AGP
2,SIDDEQUE AHMED,Indian National Congress,88074,835,88909,59.16,4,1,INC
3,PRONAB KUMAR ROY,Rashtriya Lok Samta Party,695,9,704,0.47,4,5,RLSP
4,ABU SUFIAN,Independent,131,0,131,0.09,4,12,I
5,ABDUL BASIT,Independent,101,1,102,0.07,4,16,I
6,SUFIAN AHMED,Independent,515,1,516,0.34,4,6,I
7,JAHARUL HAQUE,Independent,122,0,122,0.08,4,14,I
8,FORZAN KHAN,Independent,106,0,106,0.07,4,15,I
9,FAIZ AHMED,Independent,120,3,123,0.08,4,13,I
10,BIMAL KRISHNA DAS,Independent,234,7,241,0.16,4,8,I
11,BILAL AHMED,Independent,141,0,141,0.09,4,11,I
12,RAJESH DEY PURKAYASTHA,Independent,148,0,148,0.1,4,10,I
13,SHAMIM AHMED CHOUDHURY,Independent,165,1,166,0.11,4,9,I
14,SAYED ALI AHMED,Independent,297,0,297,0.2,4,7,I
15,HUSSAIN AHMED,Independent,1167,0,1167,0.78,4,3,I
16,NOTA,None of the Above,974,11,985,0.66,4,4,NOTA
1,ABDUL AZIZ,All India United Democratic Front,73908,544,74452,56.62,5,1,AIUDF
2,BISWARUP BHATTACHARJEE,Bharatiya Janata Party,49969,535,50504,38.41,5,2,BJP
3,NIZAM UDDIN,Rashtriya Ulama Council,356,3,359,0.27,5,7,RUC
4,SAHAB UDDIN,Assam Jatiya Parishad,2111,12,2123,1.61,5,3,AJP
5,OLIOUR RAHAMAN TAPADAR,Independent,72,0,72,0.05,5,15,I
6,ABDUL MALIK,Independent,455,1,456,0.35,5,6,I
7,ABDUL HASIB,Independent,157,2,159,0.12,5,12,I
8,ABDUS SUKKUR BEIG,Independent,77,1,78,0.06,5,14,I
9,ENAM UDDIN,Independent,98,5,103,0.08,5,13,I
10,KABIL MIYA,Independent,290,2,292,0.22,5,8,I
11,NAJIM UDDIN,Independent,216,2,218,0.17,5,10,I
12,BAHAR ASHIK,Independent,175,0,175,0.13,5,11,I
13,RASID AHMED,Independent,229,0,229,0.17,5,9,I
14,RIYAJ UDDIN,Independent,566,0,566,0.43,5,5,I
15,NOTA,None of the Above,1692,14,1706,1.3,5,4,NOTA
1,ZAKIR HUSSAIN LASKAR,All India United Democratic Front,70541,516,71057,55.15,6,1,AIUDF
2,MILON DAS,Bharatiya Janata Party,46720,583,47303,36.72,6,2,BJP
3,SAFIQUE KAMAL BARLASKAR,All India Trinamool Congress,384,5,389,0.3,6,8,AITC
4,MONUJ MOHAN DEB,Bharatiya Gana Parishad,217,9,226,0.18,6,9,BGP
5,SUSHIL PAUL,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),126,5,131,0.1,6,11,SUCOI(C)
