O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,BIJU MATHEW,Bharatiya Janata Party,28226,873,29099,17.98
2,VEENA GEORGE,Communist Party of India (Marxist),72192,2758,74950,46.3
3,Adv. K. SIVADASAN NAIR,Indian National Congress,53142,2805,55947,34.56
4,OMALLOOR RAMACHANDRAN,Ambedkarite Party of India,229,7,236,0.15
5,SANTHI OMALLOOR,Anna Democratic Human Rights Movement Party of India,130,3,133,0.08
6,ARJUNAN C. K,Independent,65,2,67,0.04
7,PRASANTH ARANMULA,Independent,129,14,143,0.09
8,SIVADASAN NAIR S/o RAGHAVAN NAIR,Independent,607,22,629,0.39
9,G. SUGATHAN,Independent,86,1,87,0.05
10,NOTA,None of the Above,564,11,575,0.36
