O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,AC_NO,Position,Party Code
1,A K M ASHRAF,Indian Union Muslim League,65190,568,65758,38.14,1,1,IUML
2,V V RAMESHAN,Communist Party of India (Marxist),40098,541,40639,23.57,1,3,CPI(M)
3,K SURENDRAN,Bharatiya Janata Party,64000,1013,65013,37.7,1,2,BJP
4,PRAVEEN KUMAR S,Anna Democratic Human Rights Movement Party of India,250,1,251,0.15,1,5,ADHRMPI
5,JOHN D SOUZA I,Independent,180,1,181,0.1,1,7,I
6,SURENDRAN M S/o PADMAVATHI M,Independent,196,1,197,0.11,1,6,I
7,NOTA,None of the Above,387,0,387,0.22,1,4,NOTA
1,N A NELLIKKUNNU,Indian Union Muslim League,62824,472,63296,43.8,2,1,IUML
2,VIJAYA K P,Bahujan Samaj Party,664,15,679,0.47,2,4,BSP
3,ADV K SHREEKANTH,Bharatiya Janata Party,49737,658,50395,34.88,2,2,BJP
4,RANJITH RAJ M,Anna Democratic Human Rights Movement Party of India,545,10,555,0.38,2,6,ADHRMPI
5,M A LATHEEF,Indian National League,28028,295,28323,19.6,2,3,INL
6,NISHANTH KUMAR I B,Independent,412,5,417,0.29,2,7,I
7,SUDHAKARAN K,Independent,192,4,196,0.14,2,8,I
8,NOTA,None of the Above,629,10,639,0.44,2,5,NOTA
1,C H KUNHAMBU,Communist Party of India (Marxist),76733,1931,78664,47.58,3,1,CPI(M)
2,BALAKRISHNAN PERIYE,Indian National Congress,64117,1225,65342,39.52,3,2,INC
3,A VELAYUDHAN,Bharatiya Janata Party,19978,382,20360,12.31,3,3,BJP
4,GOVINDAN B ALINTHAZE,Ambedkarite Party of India,189,5,194,0.12,3,6,API
5,KUNHAMBU K S/o Kuttappan K C,Independent,134,6,140,0.08,3,7,I
6,RAMESHAN K,Independent,204,3,207,0.13,3,5,I
7,NOTA,None of the Above,430,4,434,0.26,3,4,NOTA
1,E CHANDRASHEKARAN,Communist Party of India,82189,2426,84615,50.72,4,1,CPI
2,BALRAJ,Bharatiya Janata Party,21119,451,21570,12.93,4,3,BJP
3,P V SURESH,Indian National Congress,56112,1364,57476,34.45,4,2,INC
4,ABDUL SAMAD. T S/o T KUNHAMU HAJI,SOCIAL DEMOCRATIC PARTY OF INDIA,774,1,775,0.46,4,4,SDPOI
5,T ABDUL SAMAD S/o T KUNHIKOYA HAJI,Janata Dal (United),86,1,87,0.05,4,12,JD(U)
6,RESHMA KARIVEDAKAM,Anna Democratic Human Rights Movement Party of India,181,4,185,0.11,4,10,ADHRMPI
7,AUGUSTIN,Independent,495,37,532,0.32,4,6,I
8,KRISHNAN PARAPPACHAL,Independent,347,10,357,0.21,4,7,I
9,MANOJ THOMAS,Independent,93,12,105,0.06,4,11,I
10,SREENATH SASI. T C V,Independent,218,1,219,0.13,4,9,I
11,SURESH. B C S/o CHENIYAN NAIK,Independent,276,1,277,0.17,4,8,I
12,NOTA,None of the Above,620,17,637,0.38,4,5,NOTA
1,M RAJAGOPALAN,Communist Party of India (Marxist),82556,3595,86151,53.71,5,1,CPI(M)
2,SHIBIN T V,Bharatiya Janata Party,10621,340,10961,6.83,5,3,BJP
3,M P JOSEPH,Kerala Congress,58200,1814,60014,37.41,5,2,KC
4,T MAHESH MASTER,Welfare Party Of India,799,18,817,0.51,5,5,WPOI
5,LIYAKATHALI P,SOCIAL DEMOCRATIC PARTY OF INDIA,1188,23,1211,0.75,5,4,SDPOI
6,SUDHAN VELLARIKKUND,Anna Democratic Human Rights Movement Party of India,104,12,116,0.07,5,9,ADHRMPI
7,JOY JOHN,Independent,352,10,362,0.23,5,7,I
8,M V JOSEPH,Independent,192,26,218,0.14,5,8,I
9,NOTA,None of the Above,521,37,558,0.35,5,6,NOTA
1,M PRADEEP KUMAR,Indian National Congress,42723,1192,43915,29.29,6,2,INC
2,T I MADHUSOODANAN,Communist Party of India (Marxist),89909,3786,93695,62.49,6,1,CPI(M)
3,Adv K K SREEDHARAN,Bharatiya Janata Party,11048,260,11308,7.54,6,3,BJP
4,ABHILASH K V,Independent,334,7,341,0.23,6,5,I
5,NOTA,None of the Above,653,33,686,0.46,6,4,NOTA
1,ARUN KAITHAPRAM,Bharatiya Janata Party,11135,230,11365,7.81,7,3,BJP
2,ADV. BRIJESH KUMAR,Indian National Congress,42785,1074,43859,30.13,7,2,INC
3,M VIJIN,Communist Party of India (Marxist),85304,2948,88252,60.62,7,1,CPI(M)
4,FAIZAL MADAYI,Welfare Party Of India,1141,28,1169,0.8,7,4,WPOI
5,BRIJESHKUMAR M. S/o AMBU,Independent,272,2,274,0.19,7,6,I
6,NOTA,None of the Above,647,19,666,0.46,7,5,NOTA
1,M V GOVINDAN MASTER,Communist Party of India (Marxist),89248,3622,92870,52.14,8,1,CPI(M)
2,A P GANGADHARAN,Bharatiya Janata Party,12737,321,13058,7.33,8,3,BJP
3,ADV. V P ABDUL RASHEED,Indian National Congress,68539,1642,70181,39.4,8,2,INC
4,ABDUL RASHEED S/o ISMAIL,Independent,364,1,365,0.2,8,6,I
5,GOVINDAN KARAYAPATH,Independent,138,12,150,0.08,8,8,I
6,C BALAKRISHNAN YADAV,Independent,186,5,191,0.11,8,7,I
7,SHIJITH K O P,Independent,497,11,508,0.29,8,5,I
8,NOTA,None of the Above,773,16,789,0.44,8,4,NOTA
1,ANIAMMA TEACHER,Bharatiya Janata Party,7608,217,7825,5.13,9,3,BJP
2,SAJI KUTTIYANIMATTAM,Kerala Congress (M),64467,2287,66754,43.77,9,2,KC(M)
3,Adv. Sajeev Joseph,Indian National Congress,74194,2570,76764,50.33,9,1,INC
4,CHACKO KARIMBIL,Independent,295,16,311,0.2,9,5,I
5,Joy John,Independent,123,5,128,0.08,9,7,I
6,SAJAN KUTTIYANIKKAL,Independent,268,7,275,0.18,9,6,I
7,NOTA,None of the Above,449,10,459,0.3,9,4,NOTA
1,K Ranjith,Bharatiya Janata Party,15403,338,15741,10.86,10,3,BJP
2,K M Shaji,Indian Union Muslim League,58490,1163,59653,41.17,10,2,IUML
3,K V Sumesh,Communist Party of India (Marxist),63895,1899,65794,45.41,10,1,CPI(M)
4,ABDUL JABBAR K K,SOCIAL DEMOCRATIC PARTY OF INDIA,2348,9,2357,1.63,10,4,SDPOI
5,RESMI RAVI,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),224,2,226,0.16,10,7,SUCOI(C)
6,Pavithran Kurikkalot,Independent,41,7,48,0.03,10,10,I
7,Prasad V P,Independent,96,8,104,0.07,10,9,I
8,K M SHAJI (MAMBA),Independent,256,21,277,0.19,10,6,I
9,Sumesh M (Mauvery House),Independent,177,3,180,0.12,10,8,I
10,NOTA,None of the Above,503,14,517,0.36,10,5,NOTA
1,ARCHANA VANDICHAL,Bharatiya Janata Party,11340,241,11581,8.64,11,3,BJP
2,SATHEESHAN PACHENI,Indian National Congress,56953,1615,58568,43.68,11,2,INC
3,T K GANESH BABU,New Labour Party,709,7,716,0.53,11,5,NLP
4,RAMACHANDRAN KADANNAPPALLI,Congress (Secular),58505,1808,60313,44.98,11,1,C(S)
5,B SHAMSUDHEEN MOULAVI,SOCIAL DEMOCRATIC PARTY OF INDIA,2061,8,2069,1.54,11,4,SDPOI
6,RAMACHANDRAN P V,Independent,106,1,107,0.08,11,8,I
7,SATHEESAN P,Independent,134,13,147,0.11,11,7,I
8,N K SURENDRAN,Independent,83,1,84,0.06,11,9,I
9,NOTA,None of the Above,475,29,504,0.38,11,6,NOTA
1,C. K. Padmanabhan,Bharatiya Janata Party,14352,271,14623,9.13,12,3,BJP
2,Pinarayi Vijayan,Communist Party of India (Marxist),92140,3382,95522,59.61,12,1,CPI(M)
3,C. Raghunathan,Indian National Congress,44089,1310,45399,28.33,12,2,INC
4,Basheer Kannadiparamba,SOCIAL DEMOCRATIC PARTY OF INDIA,2266,14,2280,1.42,12,4,SDPOI
5,Chovva Raghunathan,Independent,136,1,137,0.09,12,7,I
6,Valayar Bhagyavathi,Independent,1720,33,1753,1.09,12,5,I
7,C. P. Maharoof,Independent,66,6,72,0.04,12,8,I
8,Vadi Harindran,Independent,53,8,61,0.04,12,9,I
9,NOTA,None of the Above,390,10,400,0.25,12,6,NOTA
1,M. P. ARAVINDAKSHAN,Indian National Congress,43811,1198,45009,33.84,13,2,INC
2,Adv. A. N. SHAMSEER,Communist Party of India (Marxist),79628,2182,81810,61.52,13,1,CPI(M)
3,SHAMSEER IBRAHIM,Welfare Party Of India,1945,18,1963,1.48,13,4,WPOI
4,ARAVINDHAKSHAN S/o KAUSU,Independent,522,11,533,0.4,13,6,I
5,C. O. T. NASEER,Independent,1127,36,1163,0.87,13,5,I
6,HARIDASAN,Independent,189,9,198,0.15,13,7,I
7,NOTA,None of the Above,2283,30,2313,1.74,13,3,NOTA
1,POTTANKANDI ABDULLA,Indian Union Muslim League,59720,1365,61085,39.23,14,2,IUML
2,C. SADANANDAN MASTER,Bharatiya Janata Party,20795,417,21212,13.62,14,3,BJP
3,K.P. MOHANAN,Loktantrik Janta Dal,68472,2154,70626,45.36,14,1,LJD
4,ABDULLA PUTHIYAPARAMBATH,Independent,379,10,389,0.25,14,7,I
5,MOHANAN KUNHIPARAMBATH MEETHAL,Independent,1334,26,1360,0.87,14,4,I
6,MOHANAN K.P. KAITHAVECHA PARAMBATH,Independent,515,28,543,0.35,14,5,I
7,NOTA,None of the Above,489,5,494,0.32,14,6,NOTA
1,ILLIKKAL AUGUSTHY,Revolutionary Socialist Party,34195,971,35166,22.67,15,2,RSP
2,BIJU ELAKKUZHI,Bharatiya Janata Party,17815,408,18223,11.75,15,3,BJP
3,K K SHAILAJA TEACHER,Communist Party of India (Marxist),93007,3122,96129,61.97,15,1,CPI(M)
