O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,R SENTHILKUMAR,Dravida Munnetra Kazhagam,11589,200,11789,44.56
2,N DHANAVELOU,All India N.R. Congress,11311,267,11578,43.76
3,S GNANAPRAGASH,Naam Tamilar Katchi,443,6,449,1.7
4,A THIYAGU,Indiya Jananayaka Katchi,14,0,14,0.05
5,C DINESH,Makkal Needhi Maiam,125,1,126,0.48
6,S BASKARAN,Puducherry Development Party,19,1,20,0.08
7,P VELMURUGAN,Amma Makkal Munnettra Kazagam,1390,18,1408,5.32
8,P VELU,Desiya Murpokku Dravida Kazhagam,79,4,83,0.31
9,T PALANISAMY,Independent,60,1,61,0.23
10,N PONNAMMAL,Independent,72,2,74,0.28
11,A MURUGAN,Independent,25,1,26,0.1
12,RAMALINGAM V,Independent,62,2,64,0.24
13,V RUTHIRAMOORTHY,Independent,461,9,470,1.78
14,NOTA,None of the Above,293,1,294,1.11
