O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,M.Chinnadurai,Communist Party of India (Marxist),68715,995,69710,44.23
2,S.Jayabharathi,All India Anna Dravida Munnetra Kazhagam,56681,308,56989,36.16
3,P.Asaithambi,Communist Party of India (Marxist-Leninist) (Liberation),1260,11,1271,0.81
4,KRM.Adhidravidar,Makkal Needhi Maiam,843,5,848,0.54
5,M.Thanaraj,Namadhu Makkal Katchi,133,0,133,0.08
6,S.Malarvizhi,Anaithu Makkal Arasiyal Katchi,188,2,190,0.12
7,M.Ramila,Naam Tamilar Katchi,12606,55,12661,8.03
8,P.Lenin,Amma Makkal Munnettra Kazagam,12728,112,12840,8.15
9,V.Ilaiyaraja,Independent,129,1,130,0.08
10,P.Karthikeyan,Independent,286,3,289,0.18
11,Keerai.A.T.Chinnappa,Independent,109,2,111,0.07
12,K. Manimuthu,Independent,231,1,232,0.15
13,P.Rengasamy,Independent,206,0,206,0.13
14,V.Rethinam,Independent,620,0,620,0.39
15,NOTA,None of the Above,1384,6,1390,0.88
