O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,AC_NO,Position,Party Code
1,GOVINDARAJAN T.J,Dravida Munnetra Kazhagam,125001,1451,126452,56.94,1,1,DMK
2,DILLIY K.M,Desiya Murpokku Dravida Kazhagam,2553,23,2576,1.16,1,4,DMDK
3,NAGARAJ S,Bahujan Samaj Party,1031,7,1038,0.47,1,6,BSP
4,USHA,Naam Tamilar Katchi,11643,58,11701,5.27,1,3,NTK
5,GOWTHAM J,Anaithu Makkal Arasiyal Katchi,254,0,254,0.11,1,12,AMAK
6,SARAVANAN V,Indiya Jananayaka Katchi,813,3,816,0.37,1,7,IJK
7,PRAKASH M,Pattali Makkal Katchi,75004,510,75514,34.0,1,2,PMK
8,SARAVANAN E,Independent,526,6,532,0.24,1,8,I
9,DEVANATHAN R,Independent,482,0,482,0.22,1,9,I
10,PRAKASH K,Independent,349,2,351,0.16,1,11,I
11,PRAKASH M,Independent,196,0,196,0.09,1,13,I
12,LAKSHMI R,Independent,369,5,374,0.17,1,10,I
13,NOTA,None of the Above,1775,8,1783,0.8,1,5,NOTA
1,DURAI. CHANDRASEKAR,Indian National Congress,93669,859,94528,44.94,2,1,INC
2,BALARAMAN. P,All India Anna Dravida Munnetra Kazhagam,84534,305,84839,40.33,2,2,AIADMK
3,BHAVANI ILAVENIL. J,Bahujan Samaj Party,1102,4,1106,0.53,2,7,BSP
4,DESINGURAJAN. D,Makkal Needhi Maiam,5372,22,5394,2.56,2,4,MNM
5,MAHESWARI. A,Naam Tamilar Katchi,18973,54,19027,9.05,2,3,NTK
6,PON. RAJA,Amma Makkal Munnettra Kazagam,2813,19,2832,1.35,2,5,AMMK
7,VIJAYAKUMAR. V,Anna MGR Dravida Makkal Kalgam,189,1,190,0.09,2,10,AMDMK
8,ASHOK PRIYADARSHAN. S,Independent,470,0,470,0.22,2,8,I
9,SAMBATH KUMAR.C.H,Independent,116,0,116,0.06,2,11,I
10,SUGUMAR. K,Independent,298,0,298,0.14,2,9,I
11,NOTA,None of the Above,1551,3,1554,0.74,2,6,NOTA
1,G.Hari,All India Anna Dravida Munnetra Kazhagam,89704,1357,91061,39.15,3,2,AIADMK
2,D.Krishnamoorthi,Desiya Murpokku Dravida Kazhagam,3903,25,3928,1.69,3,4,DMDK
3,S.Chandran,Dravida Munnetra Kazhagam,118005,2309,120314,51.72,3,1,DMK
4,N.MAGENDIRAN,Bahujan Samaj Party,711,6,717,0.31,3,8,BSP
5,L.AKILA,Naam Tamilar Katchi,11900,107,12007,5.16,3,3,NTK
6,M.D.Thanigai Malai,Indiya Jananayaka Katchi,352,1,353,0.15,3,10,IJK
7,Manikkam,All India Jananayaka Makkal Kazhagam,121,0,121,0.05,3,13,AIJMK
8,M.Hari,Independent,365,1,366,0.16,3,9,I
9,Chandran,Independent,59,1,60,0.03,3,14,I
10,Chandran,Independent,46,0,46,0.02,3,15,I
11,A.J.Suresh,Independent,174,8,182,0.08,3,11,I
12,Shettu,Independent,147,0,147,0.06,3,12,I
13,D.PAULRAJ,Independent,886,3,889,0.38,3,6,I
14,V.P.Vijayan,Independent,760,8,768,0.33,3,7,I
15,NOTA,None of the Above,1653,12,1665,0.72,3,5,NOTA
1,"RAAJENDRAN, V.G.",Dravida Munnetra Kazhagam,106316,1393,107709,50.27,4,1,DMK
2,"DOSS, D.",Bahujan Samaj Party,2314,15,2329,1.09,4,4,BSP
3,"RAMANAH, BE VEE",All India Anna Dravida Munnetra Kazhagam,84508,500,85008,39.68,4,2,AIADMK
4,"GURU, N.",Amma Makkal Munnettra Kazagam,1072,5,1077,0.5,4,6,AMMK
5,"PASUPATHY, P.",Naam Tamilar Katchi,14943,85,15028,7.01,4,3,NTK
6,"KUMAR, E.",Independent,132,1,133,0.06,4,10,I
7,"SASIKUMAR, J.",Independent,87,0,87,0.04,4,12,I
8,"BALA KRISHNAN, N.",Independent,232,0,232,0.11,4,9,I
9,"RAMANAN, R.",Independent,97,0,97,0.05,4,11,I
10,"RAJENDIRAN, G.",Independent,385,3,388,0.18,4,7,I
11,"REVATHI, R.",Independent,281,2,283,0.13,4,8,I
12,NOTA,None of the Above,1857,15,1872,0.87,4,5,NOTA
1,Krishnaswamy A,Dravida Munnetra Kazhagam,148383,1195,149578,56.72,5,1,DMK
2,Sathyamurthy A C,Bahujan Samaj Party,2880,11,2891,1.1,5,6,BSP
3,Rajamannar S X,Pattali Makkal Katchi,55249,219,55468,21.03,5,2,PMK
4,Elumalai T.A.,Amma Makkal Munnettra Kazagam,8771,34,8805,3.34,5,5,AMMK
5,Boshya Gayathri M,My India Party,288,2,290,0.11,5,11,MIP
6,Manimekalai A,Naam Tamilar Katchi,29804,67,29871,11.33,5,3,NTK
7,Revathi Manimegalai J,Makkal Needhi Maiam,11877,50,11927,4.52,5,4,MNM
8,Sivakumar S,Independent,403,0,403,0.15,5,9,I
9,Dhasarathan R,Independent,173,0,173,0.07,5,15,I
10,Purushothaman B,Independent,173,2,175,0.07,5,14,I
11,Ravikumar M,Independent,448,0,448,0.17,5,8,I
12,Rajesh P,Independent,241,0,241,0.09,5,12,I
13,Venkatesan J,Independent,240,0,240,0.09,5,13,I
14,Velu S,Independent,359,0,359,0.14,5,10,I
15,NOTA,None of the Above,2849,18,2867,1.09,5,7,NOTA
1,Sankar N M,Desiya Murpokku Dravida Kazhagam,1895,16,1911,0.64,6,6,DMDK
2,CHARLES S,Bahujan Samaj Party,763,10,773,0.26,6,8,BSP
3,Nasar S M,Dravida Munnetra Kazhagam,148845,1442,150287,49.94,6,1,DMK
4,Pandiarajan K,All India Anna Dravida Munnetra Kazhagam,94331,681,95012,31.57,6,2,AIADMK
5,Udhayakumar V,Makkal Needhi Maiam,16982,110,17092,5.68,6,4,MNM
6,Balasubramanian M,Tamil Nadu Ilangyar Katchi,1251,12,1263,0.42,6,7,TNIK
7,Banumathi,My India Party,126,1,127,0.04,6,15,MIP
8,Raman N,Tamilnadu Makkal Nalvazhvu Periyakkam,120,0,120,0.04,6,16,TMNP
9,VIJAYALAKSHMI G,Naam Tamilar Katchi,29953,134,30087,10.0,6,3,NTK
10,Viswanathan R,MGR Makkal Katchi,108,0,108,0.04,6,17,MMK
11,Akilan T.M.,Independent,72,0,72,0.02,6,21,I
