O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,GAUTAM RAJ RAI,Communist Party of India (Marxist),1821,92,1913,1.13
2,NEERAJ TAMANG ZIMBA,Bharatiya Janata Party,67161,1746,68907,40.88
3,ANJANI SHARMA,Independent,1600,77,1677,0.99
4,KESHAV RAJ SHARMA,Independent,46927,704,47631,28.26
5,NIMA GYAMTSHO SHERPA,Independent,2042,46,2088,1.24
6,PEMBA TSHERING,Independent,37804,436,38240,22.68
7,BHARAT PRAKASH RAI,Independent,1286,41,1327,0.79
8,MILAN THOKAR,Independent,1367,30,1397,0.83
9,SURAJ GURUNG,Independent,2766,89,2855,1.69
10,NOTA,None of the Above,2495,45,2540,1.51
