O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,AC_NO,Position,Party Code
1,ADHIKARY PARESH CHANDRA,All India Trinamool Congress,98790,548,99338,49.98,1,1,AITC
2,GOBINDA CHANDRA ROY,All India Forward Bloc,6758,95,6853,3.45,1,3,AIFB
3,JYOTISH ROY,Bahujan Samaj Party,1019,6,1025,0.52,1,6,BSP
4,DADHIRAM RAY,Bharatiya Janata Party,83991,662,84653,42.59,1,2,BJP
5,KUKIL ADHIKARY,Kamatapur People’s Party (United),789,5,794,0.4,1,8,KPP(U)
6,CHINU ROY BARMAN,Amra Bangalee,396,4,400,0.2,1,10,AB
7,RANJIT KUMAR ROY,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1761,7,1768,0.89,1,5,SUCOI(C)
8,GOLAPI ROY,Independent,508,3,511,0.26,1,9,I
9,SUBHASH BARMAN,Independent,953,2,955,0.48,1,7,I
10,NOTA,None of the Above,2442,5,2447,1.23,1,4,NOTA
1,Ashok Barman,Communist Party of India (Marxist),7553,165,7718,3.6,2,3,CPI(M)
2,Girindra Nath Barman,All India Trinamool Congress,86470,645,87115,40.67,2,2,AITC
3,Sushil Barman,Bharatiya Janata Party,112146,1103,113249,52.87,2,1,BJP
4,Kangsa Raj Barman,Kamatapur People’s Party (United),1282,7,1289,0.6,2,5,KPP(U)
5,Bikash Barman,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),582,7,589,0.27,2,8,SUCOI(C)
6,Ratan Barman,Amra Bangalee,481,5,486,0.23,2,9,AB
7,Animesh Mohanta,Independent,1144,3,1147,0.54,2,7,I
8,Haradhan Roy,Independent,1166,1,1167,0.54,2,6,I
9,NOTA,None of the Above,1431,12,1443,0.67,2,4,NOTA
1,NAGENDRA NATH ROY,All India Forward Bloc,11232,243,11475,4.7,3,3,AIFB
2,BINAY KRISHNA BARMAN,All India Trinamool Congress,104823,1045,105868,43.4,3,2,AITC
3,SUKUMAR ROY,Bharatiya Janata Party,118656,1827,120483,49.4,3,1,BJP
4,ANIL CHANDRA ROY,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1375,11,1386,0.57,3,5,SUCOI(C)
5,GOPAL ROY,Amra Bangalee,620,8,628,0.26,3,8,AB
6,SAMARESH RAY,Kamatapur People’s Party (United),1110,17,1127,0.46,3,7,KPP(U)
7,NARESH CHANDRA ROY,Independent,1374,5,1379,0.57,3,6,I
8,NOTA,None of the Above,1555,15,1570,0.64,3,4,NOTA
1,Akshay Thakur,All India Forward Bloc,9928,318,10246,5.24,4,3,AIFB
2,Avijit De Bhowmik,All India Trinamool Congress,85620,1009,86629,44.31,4,2,AITC
3,Khokan Majumdar,Bahujan Samaj Party,1415,4,1419,0.73,4,6,BSP
4,Nikhil Ranjan Dey,Bharatiya Janata Party,89966,1594,91560,46.83,4,1,BJP
5,Nazma Khandakar,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1124,14,1138,0.58,4,7,SUCOI(C)
6,Babla Deb,Amra Bangalee,326,3,329,0.17,4,10,AB
7,Anamika Paul,Independent,728,11,739,0.38,4,8,I
8,Bidhan Barma,Independent,493,3,496,0.25,4,9,I
9,Rati Ranjan Paul,Independent,1480,5,1485,0.76,4,4,I
10,NOTA,None of the Above,1436,28,1464,0.75,4,5,NOTA
1,Partha Pratim Ray,All India Trinamool Congress,106527,613,107140,43.56,5,2,AITC
2,Baren Chandra Barman,Bharatiya Janata Party,124120,835,124955,50.8,5,1,BJP
3,Sudhangshu Pramanik,Communist Party of India (Marxist),6622,98,6720,2.73,5,3,CPI(M)
4,Kamal Barman,Amra Bangalee,719,2,721,0.29,5,7,AB
5,Jagadish Adhikari,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),691,2,693,0.28,5,8,SUCOI(C)
6,Manik Chandra Barman,Kamatapur People’s Party (United),970,6,976,0.4,5,6,KPP(U)
7,Hare Krishna Sarkar,Independent,2018,0,2018,0.82,5,5,I
8,NOTA,None of the Above,2738,5,2743,1.12,5,4,NOTA
1,KESHAB CHANDRA RAY,Indian National Congress,3900,64,3964,1.66,6,3,INC
